"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -1.867373717,       1.510533373,   -0.006592469271,       4.449983955,      -3.802735461
          0,           0,           1,      -1.915170598,       1.464715814,      0.2414997258,       4.398426385,       -3.97699168
          0,           0,           2,      -1.730664499,       1.434454813,      0.4746402678,       4.363748908,      -4.135813603
          0,           0,           3,      -1.568077992,       1.430868866,      0.6382537257,       4.354313472,      -4.270185871
          0,           0,           4,      -1.466159253,       1.443050691,      0.7480215038,       4.359660998,      -4.373103792
          0,           0,           5,      -1.382431247,        1.45911438,      0.8369817967,       4.369834018,      -4.445170412
          0,           0,           6,       -1.34147002,       1.463990983,      0.9054687871,       4.372833505,      -4.493652426
          0,           0,           7,      -1.317779686,       1.463840882,      0.9536653623,       4.369305589,      -4.527459768
          0,           0,           8,       -1.32257178,       1.455781411,      0.9920044518,       4.357639731,      -4.553135524
          0,           0,           9,      -1.299312711,       1.458348215,       1.024751232,       4.352675176,      -4.574726849
          0,           0,          10,       -1.29246509,       1.460099034,       1.049806514,       4.344298338,      -4.594170768
          0,           0,          11,      -1.281981273,       1.458333813,       1.070726621,       4.334779637,      -4.612462486
          0,           0,          12,      -1.270907952,       1.459848547,       1.086093839,       4.326575925,      -4.630094179
          0,           0,          13,      -1.259877013,        1.45908389,       1.098555922,       4.317335035,      -4.647266838
          0,           0,          14,      -1.251851406,       1.457650065,       1.107251147,       4.309064912,      -4.664117113
          0,           0,          15,      -1.244398039,       1.455974611,       1.114679462,       4.300574993,      -4.680714054
          0,           0,          16,      -1.233146395,       1.453664994,       1.120854903,       4.293467626,      -4.697107792
          0,           0,          17,      -1.221436479,       1.450814116,       1.126666986,        4.28683242,      -4.713416705
          0,           0,          18,      -1.218103328,       1.446005727,       1.128165695,       4.275976514,      -4.729649173
          0,           0,          19,      -1.208406952,       1.445292912,       1.130827715,       4.269588069,      -4.745802904
          0,           0,          20,      -1.205763818,       1.435921206,       1.132849089,        4.25854078,      -4.761894266
          0,           0,          21,       -1.20265773,       1.428163957,       1.134854182,        4.24887437,      -4.777959653
          0,           0,          22,      -1.204262019,       1.422778118,       1.135051209,       4.238437146,      -4.793989382
          0,           0,          23,      -1.204329708,       1.417543595,       1.135377791,       4.228856864,      -4.809947547
          0,           0,          24,      -1.204274702,       1.411970092,       1.136160793,       4.219189993,      -4.825826475
          0,           0,          25,      -1.209437723,        1.40203842,        1.13597612,       4.206660155,      -4.841599233
          0,           0,          26,       -1.21060281,       1.395324348,        1.13526534,       4.197188186,      -4.857280664
          0,           0,          27,      -1.210170348,        1.38913369,        1.13347721,       4.189227608,      -4.872773229
          0,           0,          28,      -1.214431683,        1.38364319,       1.130227296,       4.179491403,      -4.888022715
          0,           0,          29,      -1.212828798,       1.376790531,       1.127349169,       4.171181468,      -4.902952763
          0,           0,          30,      -1.215591306,       1.369824789,       1.122860457,       4.162021861,      -4.917477751
          0,           0,          31,      -1.215810938,       1.361222565,       1.117875126,       4.153854094,      -4.931534243
          0,           0,          32,      -1.212778355,       1.352723139,       1.110614179,       4.146820167,      -4.945180732
          0,           0,          33,      -1.210071261,       1.344327057,       1.101793891,       4.138973534,      -4.958339372
          0,           0,          34,      -1.212048362,        1.33674197,       1.090646605,       4.131316289,      -4.971009721
          0,           0,          35,      -1.210308369,       1.329997129,       1.078509543,       4.125850143,      -4.983271875
          0,           0,          36,      -1.206695476,       1.322378261,       1.064699495,       4.119862218,      -4.994990467
          0,           0,          37,      -1.203799793,       1.313100144,       1.050775164,        4.11347956,      -5.006360209
          0,           0,          38,      -1.203815515,       1.304674855,       1.035735942,        4.10800405,      -5.017339234
          0,           0,          39,      -1.201578142,       1.296575147,       1.019651073,       4.102935502,      -5.027971845
          0,           0,          40,       -1.20324639,       1.289486618,       1.003740555,        4.09678272,      -5.038113225
          0,           0,          41,      -1.206601156,       1.281804148,      0.9888071253,       4.090269047,      -5.047780931
          0,           0,          42,      -1.213571764,       1.274353415,       0.974496621,       4.083819611,       -5.05688838
          0,           0,          43,      -1.213781525,       1.267000299,      0.9614465215,       4.078413964,      -5.065231322
          0,           0,          44,      -1.208281238,       1.258725073,       0.949860958,       4.074115184,      -5.072740501
          0,           0,          45,      -1.205277597,       1.250539546,      0.9402729685,       4.069541771,      -5.079285443
