"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.425362992,      -15.58415769,      -15.68497557,     0.03716105282
          0,           0,           1,      -5.899878287,      -2.948636658,      -3.344419486,     -0.4347203372
          0,           0,           2,      -6.019759256,       -3.52732701,      -3.811506352,     -0.5550180252
          0,           0,           3,       -6.08058108,      -3.885775817,      -3.944259693,     -0.6372717059
          0,           0,           4,      -6.318428515,      -4.078199676,      -4.160379079,     -0.8845889199
          0,           0,           5,      -6.595856464,      -4.293312884,      -4.327260816,      -1.162388335
          0,           0,           6,      -6.912419231,      -4.340090836,       -4.33659993,      -1.485063294
          0,           0,           7,      -7.135451179,      -4.467688569,      -4.448554687,      -1.697758658
          0,           0,           8,      -7.176966196,      -4.681605015,      -4.688555694,      -1.718327279
          0,           0,           9,      -7.299375904,        -4.6851142,      -4.811382753,      -1.839731641
          0,           0,          10,       -7.51326238,      -4.643998566,      -4.803756884,      -2.061732507
          0,           0,          11,       -7.65299594,      -4.664657053,      -4.850829389,      -2.202609752
          0,           0,          12,      -7.681947484,      -4.704540433,      -4.921228248,      -2.226175503
          0,           0,          13,      -7.742428438,      -4.708290114,      -4.921013476,      -2.286744462
          0,           0,          14,      -7.819718861,      -4.692088288,      -4.893224656,      -2.364833284
          0,           0,          15,      -7.859628787,      -4.678864238,      -4.883100925,      -2.402604293
          0,           0,          16,      -7.890048762,      -4.673047985,      -4.891785111,      -2.432407804
          0,           0,          17,      -7.912066357,      -4.665917418,      -4.892008646,       -2.45513378
          0,           0,          18,      -7.928309322,      -4.657599141,      -4.880612535,      -2.472320383
          0,           0,          19,      -7.941566492,      -4.651034211,       -4.86881673,      -2.486129525
          0,           0,          20,      -7.953312969,      -4.647329263,      -4.861620566,      -2.497962786
          0,           0,          21,      -7.964180348,      -4.646166892,      -4.857912865,      -2.508418281
          0,           0,          22,      -7.975159758,      -4.647163418,      -4.856019224,      -2.518448507
          0,           0,          23,      -7.987617214,         -4.650317,      -4.855710342,      -2.529511406
          0,           0,          24,      -8.001613399,      -4.655677175,      -4.857216511,      -2.541749887
          0,           0,          25,      -8.016468761,      -4.663205203,      -4.860572006,       -2.55457333
          0,           0,          26,      -8.031666558,       -4.67283761,      -4.865788899,      -2.567609848
          0,           0,          27,      -8.046801984,      -4.684530948,        -4.8729942,       -2.58061393
          0,           0,          28,      -8.061422183,      -4.698249114,      -4.882324519,      -2.593254389
          0,           0,          29,      -8.075160832,      -4.713940113,      -4.893821303,      -2.605242229
          0,           0,          30,      -8.087842092,      -4.731522238,      -4.907420395,      -2.616453969
          0,           0,          31,      -8.099422367,      -4.750876892,      -4.922981084,      -2.626890125
          0,           0,          32,      -8.109881805,      -4.771841089,      -4.940304224,      -2.636569161
          0,           0,          33,      -8.119145566,      -4.794197367,      -4.959130497,      -2.645444748
          0,           0,          34,      -8.127090817,      -4.817660631,      -4.979125142,         -2.653403
          0,           0,          35,      -8.133610335,        -4.8418637,      -4.999858726,      -2.660318796
          0,           0,          36,      -8.138715446,      -4.866345518,       -5.02079581,      -2.666152401
          0,           0,          37,      -8.142508982,      -4.890546191,      -5.041290835,      -2.670930267
          0,           0,          38,      -8.145202347,      -4.913827487,      -5.060624141,      -2.674776679
          0,           0,          39,      -8.147061388,      -4.935513379,      -5.078053978,      -2.677869023
          0,           0,          40,      -8.148339349,      -4.954961714,      -5.092895524,      -2.680385235
          0,           0,          41,      -8.149281148,      -4.971646962,      -5.104611741,      -2.682505379
          0,           0,          42,      -8.150015591,      -4.985221176,      -5.112866297,      -2.684302966
          0,           0,          43,      -8.150430625,      -4.995511984,      -5.117591522,      -2.685619919
          0,           0,          44,      -8.149891722,      -5.002456143,      -5.119004523,      -2.685797602
          0,           0,          45,       -8.14761807,      -5.006113789,      -5.117640881,      -2.684067831
          0,           0,          46,      -8.143658478,      -5.006840015,      -5.114266885,      -2.680520271
          0,           0,          47,      -8.138771595,      -5.005290301,      -5.109608508,      -2.675946132
          0,           0,          48,      -8.133673192,      -5.002187859,      -5.104207352,      -2.671073651
          0,           0,          49,      -8.128677219,      -4.998136351,      -5.098433648,      -2.666224459
          0,           0,          50,      -8.123877891,      -4.993582678,      -5.092548984,      -2.661499479
          0,           0,          51,      -8.119247097,      -4.988830556,      -5.086730177,      -2.656876554
          0,           0,          52,      -8.114702518,      -4.984078633,      -5.081098971,      -2.652275954
          0,           0,          53,       -8.11019685,      -4.979466892,       -5.07572697,       -2.64766346
          0,           0,          54,      -8.105695811,      -4.975078774,      -5.070678072,      -2.643007564
          0,           0,          55,      -8.101269164,      -4.970979535,      -5.065999077,      -2.638395106
          0,           0,          56,      -8.096985854,      -4.967216825,      -5.061735602,        -2.6338968
          0,           0,          57,      -8.093089948,      -4.963842545,      -5.057958082,      -2.629759251
          0,           0,          58,      -8.089752278,      -4.960898676,      -5.054703872,      -2.626164275
          0,           0,          59,      -8.086918109,      -4.958384477,      -5.051988086,      -2.623057551
          0,           0,          60,      -8.084536655,      -4.956277832,      -5.049797895,      -2.620393409
          0,           0,          61,      -8.082571467,       -4.95454194,      -5.048062562,       -2.61814915
          0,           0,          62,      -8.080848414,      -4.953112939,      -5.046726101,      -2.616140335
          0,           0,          63,      -8.079470122,      -4.951975032,      -5.045753172,      -2.614485944
          0,           0,          64,      -8.078289223,      -4.951066413,      -5.045085379,      -2.613027474
          0,           0,          65,      -8.077343289,      -4.950365332,      -5.044703663,      -2.611803279
          0,           0,          66,      -8.076606292,      -4.949845896,      -5.044604965,      -2.610790037
          0,           0,          67,      -8.076084783,      -4.949488896,      -5.044756987,      -2.610005272
          0,           0,          68,      -8.075655744,      -4.949259257,      -5.045107252,      -2.609326389
          0,           0,          69,      -8.075370731,      -4.949170078,      -5.045688573,      -2.608803813
          0,           0,          70,      -8.075339952,      -4.949238162,      -5.046510343,      -2.608560637
          0,           0,          71,      -8.075394359,      -4.949433418,      -5.047559779,      -2.608417915
          0,           0,          72,      -8.075645425,      -4.949773102,      -5.048842693,      -2.608492282
          0,           0,          73,      -8.076074593,      -4.950256989,      -5.050356629,      -2.608760356
          0,           0,          74,       -8.07671955,      -4.950889067,      -5.052118194,      -2.609263166
          0,           0,          75,      -8.077578219,      -4.951657971,      -5.054089787,      -2.610005065
          0,           0,          76,      -8.078521378,      -4.952551196,      -5.056282378,      -2.610841694
          0,           0,          77,      -8.079798371,      -4.953597005,      -5.058690968,      -2.612038687
          0,           0,          78,      -8.081152174,      -4.954743909,      -5.061261726,      -2.613325464
          0,           0,          79,      -8.082673642,      -4.955997386,      -5.063996305,      -2.614791574
          0,           0,          80,       -8.08435175,      -4.957347568,      -5.066869737,      -2.616421419
          0,           0,          81,      -8.086118041,      -4.958784783,       -5.06988068,       -2.61814198
          0,           0,          82,      -8.088164057,      -4.960312051,      -5.073004601,      -2.620149174
          0,           0,          83,      -8.090213232,      -4.961863155,      -5.076159661,      -2.622162788
          0,           0,          84,      -8.092328855,      -4.963448611,      -5.079355487,      -2.624245088
          0,           0,          85,      -8.094700528,      -4.965087065,      -5.082599992,      -2.626584345
          0,           0,          86,      -8.097066319,      -4.966722297,      -5.085816881,      -2.628919912
          0,           0,          87,      -8.099508327,       -4.96836567,       -5.08901689,      -2.631327779
          0,           0,          88,      -8.102002541,      -4.970005765,      -5.092187662,      -2.633786742
          0,           0,          89,      -8.104538233,      -4.971629951,      -5.095300428,      -2.636290575
          0,           0,          90,      -8.106954512,      -4.973221112,      -5.098351554,      -2.638672778
          0,           0,          91,      -8.109575212,      -4.974803746,      -5.101338894,      -2.641270352
          0,           0,          92,      -8.112070282,       -4.97632976,      -5.104204278,      -2.643746095
          0,           0,          93,      -8.114502214,      -4.977809959,      -5.106964598,      -2.646158531
          0,           0,          94,      -8.116926456,       -4.97925078,      -5.109635106,      -2.648569602
          0,           0,          95,      -8.119381761,      -4.980656924,      -5.112207839,      -2.651019052
          0,           0,          96,      -8.121716789,      -4.982009171,       -5.11465597,      -2.653350602
          0,           0,          97,      -8.123998902,      -4.983316242,      -5.116996822,      -2.655633669
          0,           0,          98,       -8.12621902,      -4.984583904,      -5.119233354,      -2.657857716
          0,           0,          99,      -8.128355869,      -4.985811752,      -5.121365813,      -2.660002545
          0,           0,         100,      -8.130347419,      -4.986997213,      -5.123394331,      -2.662003795
          0,           0,         101,      -8.132290331,        -4.9881514,      -5.125336672,      -2.663959456
          0,           0,         102,      -8.134208535,      -4.989274206,      -5.127183834,       -2.66589405
          0,           0,         103,      -8.135991282,      -4.990354806,      -5.128921651,      -2.667694942
          0,           0,         104,      -8.137684454,      -4.991403214,      -5.130569596,      -2.669407106
          0,           0,         105,      -8.139242768,      -4.992423143,        -5.1321366,      -2.670984197
          0,           0,         106,      -8.140830366,      -4.993418302,      -5.133631254,      -2.672595699
          0,           0,         107,       -8.14227842,      -4.994375582,      -5.135028406,      -2.674070977
          0,           0,         108,      -8.143660576,       -4.99530283,      -5.136349434,      -2.675485917
          0,           0,         109,      -8.144971893,       -4.99620044,       -5.13759694,      -2.676829415
          0,           0,         110,      -8.146196914,      -4.997065722,      -5.138768857,       -2.67808726
          0,           0,         111,      -8.147350121,      -4.997898067,       -5.13986783,      -2.679278878
          0,           0,         112,      -8.148306969,      -4.998690901,      -5.140894631,      -2.680271003
          0,           0,         113,      -8.149328769,      -4.999463813,       -5.14187642,      -2.681337486
          0,           0,         114,      -8.150261528,      -5.000195913,      -5.142775402,      -2.682317519
